# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 1
# model = dcf_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 2626239156
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,terminal_growth,discount_rate,years.1,years.2,years.3,years.4,cashflows.1,cashflows.2,cashflows.3,cashflows.4,value
# Adaptation terminated
# Step size = 0.723599
# Diagonal elements of inverse mass matrix:
# 3.28206, 3.84719
-9.14669,0.508728,0.723599,2,7,0,12.7772,0.0123119,0.0990166,2010,2011,2012,2013,-100,-50,150,500,4753.1
-11.6644,0.947558,0.723599,3,7,0,11.8143,0.0997759,0.146476,2010,2011,2012,2013,-100,-50,150,500,8116.05
-8.05947,0.987915,0.723599,2,3,0,11.6703,0.0920471,0.132227,2010,2011,2012,2013,-100,-50,150,500,9679.95
-7.51183,0.991757,0.723599,2,3,0,8.51072,0.0280287,0.147683,2010,2011,2012,2013,-100,-50,150,500,3142.8
-12.3761,0.556205,0.723599,2,7,0,12.4371,0.0103765,0.0220084,2010,2011,2012,2013,-100,-50,150,500,41148.6
-10.378,0.995407,0.723599,2,3,0,12.5168,0.0106924,0.0844383,2010,2011,2012,2013,-100,-50,150,500,5746.75
-12.0727,0.998985,0.723599,2,3,0,12.3415,0.0101209,0.0992732,2010,2011,2012,2013,-100,-50,150,500,4619.8
-6.95149,0.997742,0.723599,3,7,0,11.1763,0.0692838,0.111018,2010,2011,2012,2013,-100,-50,150,500,9682.29
-7.22287,0.882215,0.723599,1,3,0,7.81068,0.031152,0.0836315,2010,2011,2012,2013,-100,-50,150,500,8095.26
-10.9554,0.509345,0.723599,2,3,0,11.3167,0.0535596,0.0107801,2010,2011,2012,2013,-100,-50,150,500,-11442.5
-11.5751,0.970081,0.723599,3,11,0,12.0506,0.0255419,0.0107337,2010,2011,2012,2013,-100,-50,150,500,-33054.4
-6.94288,1,0.723599,2,3,0,10.9134,0.0479886,0.0791317,2010,2011,2012,2013,-100,-50,150,500,13769.2
-7.79694,0.829059,0.723599,2,3,0,8.01168,0.0635467,0.0313485,2010,2011,2012,2013,-100,-50,150,500,-14606.6
-8.05786,0.981825,0.723599,2,3,0,8.27786,0.0545346,0.184694,2010,2011,2012,2013,-100,-50,150,500,2701.71
-7.53073,0.950245,0.723599,2,3,0,8.68029,0.0823249,0.148017,2010,2011,2012,2013,-100,-50,150,500,5745.33
-7.8622,0.94372,0.723599,1,1,0,7.92834,0.0834249,0.165126,2010,2011,2012,2013,-100,-50,150,500,4475.72
-11.8855,0.766801,0.723599,2,7,0,12.3162,0.097084,0.012474,2010,2011,2012,2013,-100,-50,150,500,-5767.81
-8.59102,1,0.723599,2,7,0,14.331,0.0955284,0.131814,2010,2011,2012,2013,-100,-50,150,500,10729.9
-7.16642,0.991506,0.723599,2,3,0,8.61184,0.0769013,0.126943,2010,2011,2012,2013,-100,-50,150,500,7841.17
-9.16768,0.543545,0.723599,2,3,0,11.0367,0.0286839,0.192668,2010,2011,2012,2013,-100,-50,150,500,2107.05
-9.1507,0.951874,0.723599,3,7,0,10.2417,0.0548077,0.195159,2010,2011,2012,2013,-100,-50,150,500,2457.21
-8.25826,0.92539,0.723599,2,3,0,10.0643,0.0190524,0.159575,2010,2011,2012,2013,-100,-50,150,500,2614.67
-9.52458,0.98855,0.723599,2,7,0,9.78014,0.0979212,0.0581836,2010,2011,2012,2013,-100,-50,150,500,-11250.2
-7.33005,1,0.723599,2,3,0,9.54434,0.0405542,0.158416,2010,2011,2012,2013,-100,-50,150,500,3129.92
-6.97526,1,0.723599,2,3,0,7.4055,0.0390877,0.103047,2010,2011,2012,2013,-100,-50,150,500,6402.99
-8.20628,0.85452,0.723599,2,3,0,8.28637,0.0161718,0.102974,2010,2011,2012,2013,-100,-50,150,500,4712.82
-8.39963,0.995203,0.723599,2,3,0,8.50249,0.0151419,0.119462,2010,2011,2012,2013,-100,-50,150,500,3799.59
-8.61497,0.879668,0.723599,3,11,0,9.7754,0.0942283,0.156432,2010,2011,2012,2013,-100,-50,150,500,5979.47
-8.55921,0.995245,0.723599,2,3,0,9.48591,0.0910399,0.0378518,2010,2011,2012,2013,-100,-50,150,500,-8736.32
-8.14219,0.992262,0.723599,4,27,0,9.30591,0.0642769,0.0246346,2010,2011,2012,2013,-100,-50,150,500,-12019.5
-7.49773,0.987736,0.723599,2,3,0,8.5709,0.0271945,0.0668837,2010,2011,2012,2013,-100,-50,150,500,11052.8
-7.91647,0.957062,0.723599,2,3,0,8.16346,0.0842517,0.165761,2010,2011,2012,2013,-100,-50,150,500,4481.27
-8.00537,1,0.723599,2,3,0,8.42334,0.0919122,0.125309,2010,2011,2012,2013,-100,-50,150,500,11796.9
-7.16195,0.891492,0.723599,2,3,0,9.23623,0.0675331,0.0611219,2010,2011,2012,2013,-100,-50,150,500,-69277
-7.51964,0.931105,0.723599,2,3,0,7.9679,0.0835209,0.0679789,2010,2011,2012,2013,-100,-50,150,500,-28221
-7.29845,1,0.723599,1,1,0,7.54599,0.0765076,0.0647503,2010,2011,2012,2013,-100,-50,150,500,-37526.5
-8.6045,0.879626,0.723599,2,3,0,8.77787,0.0952796,0.140207,2010,2011,2012,2013,-100,-50,150,500,8531.8
-7.59957,0.964283,0.723599,2,3,0,9.13155,0.0762094,0.164914,2010,2011,2012,2013,-100,-50,150,500,4121.3
-8.79267,0.908883,0.723599,2,3,0,9.14824,0.0520981,0.0170373,2010,2011,2012,2013,-100,-50,150,500,-13791.3
-8.31616,1,0.723599,2,3,0,8.81247,0.0550251,0.021573,2010,2011,2012,2013,-100,-50,150,500,-14327.4
-9.36548,1,0.723599,2,3,0,10.2107,0.0702896,0.195595,2010,2011,2012,2013,-100,-50,150,500,2754.57
-8.78745,0.969503,0.723599,2,7,0,10.5328,0.0177588,0.175246,2010,2011,2012,2013,-100,-50,150,500,2264.67
-9.13645,0.985021,0.723599,2,7,0,9.18049,0.0940774,0.0320094,2010,2011,2012,2013,-100,-50,150,500,-7571.32
-8.19672,1,0.723599,2,3,0,9.28471,0.0200549,0.161242,2010,2011,2012,2013,-100,-50,150,500,2594.4
-8.74854,0.951206,0.723599,4,19,0,9.41491,0.0708611,0.0184274,2010,2011,2012,2013,-100,-50,150,500,-9198.35
-7.8956,0.977147,0.723599,2,3,0,9.18342,0.0247165,0.16225,2010,2011,2012,2013,-100,-50,150,500,2659.33
-7.35104,1,0.723599,2,3,0,7.96333,0.0800735,0.0708872,2010,2011,2012,2013,-100,-50,150,500,-47477.3
-7.51717,0.939097,0.723599,2,3,0,8.13435,0.0776798,0.0514203,2010,2011,2012,2013,-100,-50,150,500,-17235.8
-7.41787,0.997055,0.723599,2,3,0,7.75015,0.0528583,0.167795,2010,2011,2012,2013,-100,-50,150,500,3157.09
